Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
Challenges and future perspectives for the life cycle of manufacturing networks in the mass customisation era;Logistics Research;;9;1;10.1007/s12159-015-0129-0;D. Mourtzis;2016;http://link.springer.com/article/10.1007/s12159-015-0129-0;Article
Challenges in very large distributed systems;Journal of Internet Services and Applications;;3;1;10.1007/s13174-011-0043-x;Maarten van SteenGuillaume PierreSpyros Voulgaris;2012;http://link.springer.com/article/10.1007/s13174-011-0043-x;Article
Challenges to large-scale digital organization: the case of Uber;Journal of Organization Design;;6;1;10.1186/s41469-017-0021-2;John M. Jordan;2017;http://link.springer.com/article/10.1186/s41469-017-0021-2;Article
Choosing e-commerce strategies: a case study of eBay.vn partnership;Journal of Information Technology Teaching Cases;;6;1;10.1057/jittc.2016.1;Khuong Le-NguyenYue Guo;2016;http://link.springer.com/article/10.1057/jittc.2016.1;Article
City digital pulse: a cloud based heterogeneous data analysis platform;Multimedia Tools and Applications;;76;8;10.1007/s11042-016-4038-2;Zhongli LiShiai ZhuHuiwen HongYuanyuan LiAbdulmotaleb El Saddik;2017;http://link.springer.com/article/10.1007/s11042-016-4038-2;Article
Cloud computing in human resource management (HRM) system for small and medium enterprises (SMEs);The International Journal of Advanced Manufacturing Technology;;84;01/abr;10.1007/s00170-016-8493-8;Xiu Li WangLi WangZhuming BiYang Yang LiYingcheng Xu;2016;http://link.springer.com/article/10.1007/s00170-016-8493-8;Article
Cloud identity management security issues & solutions: a taxonomy;Complex Adaptive Systems Modeling;;2;1;10.1186/s40294-014-0005-9;Umme HabibaRahat MasoodMuhammad Awais ShibliMuaz A Niazi;2014;http://link.springer.com/article/10.1186/s40294-014-0005-9;Article
Cloud manufacturing based service encapsulation and optimal configuration method for injection molding machine;Journal of Intelligent Manufacturing;;;;10.1007/s10845-017-1322-6;Yingfeng ZhangDong XiHaidong YangFei TaoZhe Wang;2017;http://link.springer.com/article/10.1007/s10845-017-1322-6;Article
Cloud service platform of electronic identity in cyberspace;Cluster Computing;;20;1;10.1007/s10586-017-0731-9;Bing ChenChengxiang TanXiang Zou;2017;http://link.springer.com/article/10.1007/s10586-017-0731-9;Article
Cloud-assisted body area networks: state-of-the-art and future challenges;Wireless Networks;;20;7;10.1007/s11276-014-0714-1;Giancarlo FortinoGiuseppe Di FattaMukaddim PathanAthanasios V. Vasilakos;2014;http://link.springer.com/article/10.1007/s11276-014-0714-1;Article
CoC: A Unified Distributed Ledger Based Supply Chain Management System;Journal of Computer Science and Technology;;33;2;10.1007/s11390-018-1816-5;Zhimin GaoLei XuLin ChenXi ZhaoYang LuWeidong Shi;2018;http://link.springer.com/article/10.1007/s11390-018-1816-5;Article
Cognitive computing and eScience in health and life science research: artificial intelligence and obesity intervention programs;Health Information Science and Systems;;5;1;10.1007/s13755-017-0030-0;Thomas MarshallTiffiany Champagne-LangabeerDarla CastelliDeanna Hoelscher;2017;http://link.springer.com/article/10.1007/s13755-017-0030-0;Article
Collaborative Mobile Charging and Coverage;Journal of Computer Science and Technology;;29;4;10.1007/s11390-014-1449-2;Jie Wu;2014;http://link.springer.com/article/10.1007/s11390-014-1449-2;Article
Collaborative design of RFID systems for multi-purpose supply chain applications;Journal of Systems Science and Systems Engineering;;22;2;10.1007/s11518-013-5214-9;Hongyan DaiJing Xu;2013;http://link.springer.com/article/10.1007/s11518-013-5214-9;Article
Collaborative gathering and continuous delivery of DevOps solutions through repositories;Computer Science - Research and Development;;32;03/abr;10.1007/s00450-016-0338-z;Johannes WettingerUwe BreitenbücherMichael FalkenthalFrank Leymann;2017;http://link.springer.com/article/10.1007/s00450-016-0338-z;Article
Collect it all: national security, Big Data and governance;GeoJournal;;80;4;10.1007/s10708-014-9598-y;Jeremy W. Crampton;2015;http://link.springer.com/article/10.1007/s10708-014-9598-y;Article
Combining Cloud and sensors in a smart city environment;EURASIP Journal on Wireless Communications and Networking;;2012;1;10.1186/1687-1499-2012-247;Nathalie MittonSymeon PapavassiliouAntonio PuliafitoKishor S. Trivedi;2012;http://link.springer.com/article/10.1186/1687-1499-2012-247;Article
Community clouds within M-commerce: a privacy by design perspective;Journal of Cloud Computing;;6;1;10.1186/s13677-017-0093-0;Farid ShiraziAmna Iqbal;2017;http://link.springer.com/article/10.1186/s13677-017-0093-0;Article
Comparative legal study on privacy and personal data protection for robots equipped with artificial intelligence: looking at functional and technological aspects;AI & SOCIETY;;;;10.1007/s00146-017-0758-8;Kaori Ishii;2017;http://link.springer.com/article/10.1007/s00146-017-0758-8;Article
Complexity aided design;The European Physical Journal Special Topics;;214;1;10.1140/epjst/e2012-01701-5;A. CarboneM. Ajmone-MarsanK. W. AxhausenM. BattyM. MaseraE. Rome;2012;http://link.springer.com/article/10.1140/epjst/e2012-01701-5;Article
Composable models for online Bayesian analysis of streaming data;Statistics and Computing;;;;10.1007/s11222-017-9783-1;Jonathan LawDarren J. Wilkinson;2017;http://link.springer.com/article/10.1007/s11222-017-9783-1;Article
Comprehensive Overview on Computational Intelligence Techniques for Machinery Condition Monitoring and Fault Diagnosis;Chinese Journal of Mechanical Engineering;;30;4;10.1007/s10033-017-0150-0;Wan ZhangMin-Ping JiaLin ZhuXiao-An Yan;2017;http://link.springer.com/article/10.1007/s10033-017-0150-0;Article
Computer-Assisted Learning Based on Universal Design, Multimodal Presentation and Textual Linkage;Journal of the Knowledge Economy;;7;2;10.1007/s13132-016-0371-y;Leyla ZhuhadarBryan CarsonJerry DadayEvelyn ThrasherOlfa Nasraoui;2016;http://link.springer.com/article/10.1007/s13132-016-0371-y;Article
Computer-supported portfolio analysis and comparison using ontology-based patent classification mapping scheme: the case of mobile communication patent pools;Cluster Computing;;20;2;10.1007/s10586-016-0722-2;Charles V. TrappeyAmy J. C. TrappeyLuna W. L. Chen;2017;http://link.springer.com/article/10.1007/s10586-016-0722-2;Article
Concepts and Optimization Strategies of Experimental Design in Continuous-Flow Processing;Journal of Flow Chemistry;;6;3;10.1556/1846.2016.00012;Antimo GioielloValentina MancinoPaolo FilipponiSerena MostardaBruno Cerra;2016;http://link.springer.com/article/10.1556/1846.2016.00012;Article
Concepts, methods and tools for individualized production;Production Engineering;;11;2;10.1007/s11740-017-0728-5;M. LanzR. Tuokko;2017;http://link.springer.com/article/10.1007/s11740-017-0728-5;Article
Condition monitoring towards energy-efficient manufacturing: a review;The International Journal of Advanced Manufacturing Technology;;91;09/dez;10.1007/s00170-017-0014-x;Zude ZhouBitao YaoWenjun XuLihui Wang;2017;http://link.springer.com/article/10.1007/s00170-017-0014-x;Article
Constructing CSCW: The First Quarter Century;Computer Supported Cooperative Work (CSCW);;22;04/jun;10.1007/s10606-013-9193-7;Kjeld SchmidtLiam Bannon;2013;http://link.springer.com/article/10.1007/s10606-013-9193-7;Article
Construction and Real Estate Markets: From Crisis to Growth;Studies on Russian Economic Development;;29;1;10.1134/S1075700718010070;M. I. KamenetskiiN. Yu. Yas’kova;2018;http://link.springer.com/article/10.1134/S1075700718010070;Article
Construction and application of barrel finishing underlying database platform;Cluster Computing;;;;10.1007/s10586-018-2600-6;Wei GaoShengqiang YangJianyan TianAmit BanerjeeFei Yan;2018;http://link.springer.com/article/10.1007/s10586-018-2600-6;Article
Consumers and their behavior: state of the art in behavioral science supporting use phase modeling in LCA and ecodesign;The International Journal of Life Cycle Assessment;;21;2;10.1007/s11367-015-1016-2;Eugenia Polizzi di SorrentinoEva WoelbertSerenella Sala;2016;http://link.springer.com/article/10.1007/s11367-015-1016-2;Article
Context-aware dissemination of information and services in heterogeneous network environments;Journal of Ambient Intelligence and Humanized Computing;;5;6;10.1007/s12652-013-0210-y;Peyman TalebiFardVictor C. M. Leung;2014;http://link.springer.com/article/10.1007/s12652-013-0210-y;Article
Continental, Visteon / Ford / Ansys, Gerdau Steel India / Blaser Swisslube;Auto Tech Review;;5;7;10.1365/s40112-016-1160-5;;2016;http://link.springer.com/article/10.1365/s40112-016-1160-5;Article
Convergence Interaction for Communication;Wireless Personal Communications;;89;3;10.1007/s11277-016-3460-0;Yu-Keum JeongJoong-Kyung Ryu;2016;http://link.springer.com/article/10.1007/s11277-016-3460-0;Article
Cooperative communication system for high performance using ambient signals;Wireless Networks;;;;10.1007/s11276-017-1656-1;Dong-Hyun HaChang-Hee KangWon-Seok LeeHyoung-Kyu Song;2018;http://link.springer.com/article/10.1007/s11276-017-1656-1;Article
Cost Optimization Control of Logistics Service Supply Chain Based on Cloud Genetic Algorithm;Wireless Personal Communications;;;;10.1007/s11277-018-5335-z;Ying XueLi Ge;2018;http://link.springer.com/article/10.1007/s11277-018-5335-z;Article
Creating a data resource: what will it take to build a medical information commons?;Genome Medicine;;9;1;10.1186/s13073-017-0476-3;Patricia A. DeverkaMary A. MajumderAngela G. VillanuevaMargaret AndersonAnnette C. BakkerJessica BardillEric BoerwinkleTania BubelaBarbara J. EvansNanibaa’ A. GarrisonRichard A. GibbsRobert GentlemanDavid GlazerMelissa M. GoldsteinHank GreelyCrane Harris;2017;http://link.springer.com/article/10.1186/s13073-017-0476-3;Article
Creative practices in the design studio culture: collaboration and communication;Cognition, Technology & Work;;15;4;10.1007/s10111-012-0232-9;Dhaval VyasGerrit van der VeerAnton Nijholt;2013;http://link.springer.com/article/10.1007/s10111-012-0232-9;Article
Criminal Prohibition of Wrongful Re-identification: Legal Solution or Minefield for Big Data?;Journal of Bioethical Inquiry;;14;4;10.1007/s11673-017-9806-9;Mark PhillipsEdward S. DoveBartha M. Knoppers;2017;http://link.springer.com/article/10.1007/s11673-017-9806-9;Article
Crisis analytics: big data-driven crisis response;Journal of International Humanitarian Action;;1;1;10.1186/s41018-016-0013-9;Junaid QadirAnwaar AliRaihan ur RasoolAndrej ZwitterArjuna SathiaseelanJon Crowcroft;2016;http://link.springer.com/article/10.1186/s41018-016-0013-9;Article
Critiquing the Reasons for Making Artificial Moral Agents;Science and Engineering Ethics;;;;10.1007/s11948-018-0030-8;Aimee van WynsbergheScott Robbins;2018;http://link.springer.com/article/10.1007/s11948-018-0030-8;Article
Cross-device media: a review of second screening and multi-device television;Personal and Ubiquitous Computing;;21;2;10.1007/s00779-017-1016-2;Timothy NeateMatt JonesMichael Evans;2017;http://link.springer.com/article/10.1007/s00779-017-1016-2;Article
Crossing technology and sustainability in cities’ development;Sustainability Science;;;;10.1007/s11625-018-0548-3;Francesco BifulcoAnna D’AuriaCristina Caterina AmitranoMarco Tregua;2018;http://link.springer.com/article/10.1007/s11625-018-0548-3;Article
Crossing the next frontier: the role of ICT in driving the financialization of credit;Journal of Information Technology;;32;3;10.1057/s41265-017-0035-9;Daniel DrummerStefan FeuerriegelDirk Neumann;2017;http://link.springer.com/article/10.1057/s41265-017-0035-9;Article
Crowdsourcing: a new tool for policy-making?;Policy Sciences;;50;4;10.1007/s11077-017-9303-3;Araz Taeihagh;2017;http://link.springer.com/article/10.1007/s11077-017-9303-3;Article
Cryptanalysis and improvement of two new RFID protocols based on R-RAPSE;Journal of Communications and Information Networks;;2;3;10.1007/s41650-017-0013-y;Seyed Salman Sajjadi GhaemMaghamiAfrooz HaghbinMahtab Mirmohseni;2017;http://link.springer.com/article/10.1007/s41650-017-0013-y;Article
Cryptanalysis of a novel ultra-lightweight mutual authentication protocol for IoT devices using RFID tags;The Journal of Supercomputing;;73;3;10.1007/s11227-016-1849-x;Aakanksha TewariB. B. Gupta;2017;http://link.springer.com/article/10.1007/s11227-016-1849-x;Article
Cryptanalysis of the RNTS system;The Journal of Supercomputing;;65;2;10.1007/s11227-013-0873-3;Pablo Picazo-SanchezLara Ortiz-MartinPedro Peris-LopezJulio Cesar Hernandez-Castro;2013;http://link.springer.com/article/10.1007/s11227-013-0873-3;Article
Cryptocash, cryptocurrencies, and cryptocontracts;Designs, Codes and Cryptography;;78;1;10.1007/s10623-015-0148-5;Neal KoblitzAlfred J. Menezes;2016;http://link.springer.com/article/10.1007/s10623-015-0148-5;Article
Cryptocurrencies and Business Ethics;Journal of Business Ethics;;;;10.1007/s10551-016-3298-0;Claus DierksmeierPeter Seele;2016;http://link.springer.com/article/10.1007/s10551-016-3298-0;Article
Current Researches and Future Development Trend of Intelligent Robot: A Review;International Journal of Automation and Computing;;;;10.1007/s11633-018-1115-1;Tian-Miao WangYong TaoHui Liu;2018;http://link.springer.com/article/10.1007/s11633-018-1115-1;Article
Cyber-physical integration for moving digital factories forward towards smart manufacturing: a survey;The International Journal of Advanced Manufacturing Technology;;;;10.1007/s00170-018-2001-2;Ying ChengYongping ZhangPing JiWenjun XuZude ZhouFei Tao;2018;http://link.springer.com/article/10.1007/s00170-018-2001-2;Article
Cyber-physical system homeostatic security management;Automatic Control and Computer Sciences;;51;8;10.3103/S0146411617080260;D. P. ZegzhdaE. Yu. Pavlenko;2017;http://link.springer.com/article/10.3103/S0146411617080260;Article
Cyber-physical system;AI & SOCIETY;;;;10.1007/s00146-018-0802-3;Francesco GaribaldoEmilio Rebecchi;2018;http://link.springer.com/article/10.1007/s00146-018-0802-3;Article
Cyber-physical systems challenges: a needs analysis for collaborating embedded software systems;Software & Systems Modeling;;15;1;10.1007/s10270-015-0469-x;Pieter J. MostermanJustyna Zander;2016;http://link.springer.com/article/10.1007/s10270-015-0469-x;Article
DOI for geoscience data - how early practices shape present perceptions;Earth Science Informatics;;9;1;10.1007/s12145-015-0231-5;Jens KlumpRobert HuberMichael Diepenbroek;2016;http://link.springer.com/article/10.1007/s12145-015-0231-5;Article
Data Privacy in Cloud-assisted Healthcare Systems: State of the Art and Future Challenges;Journal of Medical Systems;;40;6;10.1007/s10916-016-0509-2;Anam SajidHaider Abbas;2016;http://link.springer.com/article/10.1007/s10916-016-0509-2;Article
Data Processing in Industrie 4.0;Datenbank-Spektrum;;18;1;10.1007/s13222-018-0277-x;Frank WernerRobert Woitsch;2018;http://link.springer.com/article/10.1007/s13222-018-0277-x;Article
Data Protection Failing to Build Trust;ATZelektronik worldwide;;11;2;10.1007/s38314-016-0018-6;Markus Schöttle;2016;http://link.springer.com/article/10.1007/s38314-016-0018-6;Article
Data Transmission Scheme Considering Node Failure for Blockchain;Wireless Personal Communications;;;;10.1007/s11277-018-5434-x;Jiao Li;2018;http://link.springer.com/article/10.1007/s11277-018-5434-x;Article
Data Work: How Energy Advisors and Clients Make IoT Data Accountable;Computer Supported Cooperative Work (CSCW);;26;04/jun;10.1007/s10606-017-9293-x;Joel E. FischerAndy CrabtreeJames A. ColleyTom RoddenEnrico Costanza;2017;http://link.springer.com/article/10.1007/s10606-017-9293-x;Article
Data provenance to audit compliance with privacy policy in the Internet of Things;Personal and Ubiquitous Computing;;22;2;10.1007/s00779-017-1067-4;Thomas PasquierJatinder SinghJulia PowlesDavid EyersMargo SeltzerJean Bacon;2018;http://link.springer.com/article/10.1007/s00779-017-1067-4;Article
Data security in decentralized cloud systems – system comparison, requirements analysis and organizational levels;Journal of Cloud Computing;;6;1;10.1186/s13677-017-0082-3;André MüllerAndré LudwigBogdan Franczyk;2017;http://link.springer.com/article/10.1186/s13677-017-0082-3;Article
Data security in mobile cloud computing paradigm: a survey, taxonomy and open research issues;The Journal of Supercomputing;;73;6;10.1007/s11227-016-1945-y;Tarunpreet BhatiaA. K. Verma;2017;http://link.springer.com/article/10.1007/s11227-016-1945-y;Article
Deep Boltzmann machine based condition prediction for smart manufacturing;Journal of Ambient Intelligence and Humanized Computing;;;;10.1007/s12652-018-0794-3;Jinjiang WangKebo WangYangshen WangZuguang HuangRuijuan Xue;2018;http://link.springer.com/article/10.1007/s12652-018-0794-3;Article
Denial of service attacks, defences and research challenges;Cluster Computing;;20;1;10.1007/s10586-017-0730-x;Vinko ZlomislicKrešimir FertaljVlado Sruk;2017;http://link.springer.com/article/10.1007/s10586-017-0730-x;Article
Deployment of Wireless Sensor Networks in Crop Storages;Wireless Personal Communications;;81;4;10.1007/s11277-015-2482-3;Jakob Pilegaard JuulOle GreenRune Hylsberg Jacobsen;2015;http://link.springer.com/article/10.1007/s11277-015-2482-3;Article
Design and simulation of self-powered radio frequency identification (RFID) tags for mobile temperature monitoring;Science China Technological Sciences;;56;1;10.1007/s11431-012-5050-z;HeQun ChuGuangMin WuJianMing ChenFei FeiJohn D. MaiWen J. Li;2013;http://link.springer.com/article/10.1007/s11431-012-5050-z;Article
Design of informatics-based services in manufacturing industries: case studies using large vehicle-related databases;Journal of Intelligent Manufacturing;;29;3;10.1007/s10845-015-1123-8;Chie-Hyeon LimMin-Jun KimJun-Yeon HeoKwang-Jae Kim;2018;http://link.springer.com/article/10.1007/s10845-015-1123-8;Article
Design of secure authentication scheme between devices based on zero-knowledge proofs in home automation service environments;The Journal of Supercomputing;;72;11;10.1007/s11227-016-1856-y;Jungho KangGeunil ParkJong Hyuk Park;2016;http://link.springer.com/article/10.1007/s11227-016-1856-y;Article
Designing Commercial Therapeutic Robots for Privacy Preserving Systems and Ethical Research Practices Within the Home;International Journal of Social Robotics;;8;4;10.1007/s12369-016-0362-y;Elaine SedenbergJohn ChuangDeirdre Mulligan;2016;http://link.springer.com/article/10.1007/s12369-016-0362-y;Article
Designing a mobile language learning system based on lightweight learning objects;Multimedia Tools and Applications;;74;3;10.1007/s11042-013-1704-5;Miloš MilutinovicAleksandra LabusVukašin StojiljkovicZorica BogdanovicMarijana Despotovic-Zrakic;2015;http://link.springer.com/article/10.1007/s11042-013-1704-5;Article
Detecting cyber-physical attacks in CyberManufacturing systems with machine learning methods;Journal of Intelligent Manufacturing;;;;10.1007/s10845-017-1315-5;Mingtao WuZhengyi SongYoung B. Moon;2017;http://link.springer.com/article/10.1007/s10845-017-1315-5;Article
Developing BP-driven web applications through the use of MDE techniques;Software & Systems Modeling;;11;4;10.1007/s10270-010-0177-5;Victoria TorresPau GinerVicente Pelechano;2012;http://link.springer.com/article/10.1007/s10270-010-0177-5;Article
Developing a System for Processing Health Data of Children Using Digitalized Toys: Ethical and Privacy Concerns for the Internet of Things Paradigm;Science and Engineering Ethics;;;;10.1007/s11948-017-9951-x;María Luisa Martín-RuízCelia Fernández-AllerEloy PortilloJavier MalagónCristina del Barrio;2017;http://link.springer.com/article/10.1007/s11948-017-9951-x;Article
Developing an employee turnover risk evaluation model using case-based reasoning;Information Systems Frontiers;;19;3;10.1007/s10796-015-9615-9;Xin WangLi WangLi ZhangXiaobo XuWeiyong ZhangYingcheng Xu;2017;http://link.springer.com/article/10.1007/s10796-015-9615-9;Article
Developing and validating a hierarchical model of external responsiveness: A study on RFID technology;Information Systems Frontiers;;17;1;10.1007/s10796-014-9503-8;Mohammad Alamgir HossainMohammed Quaddus;2015;http://link.springer.com/article/10.1007/s10796-014-9503-8;Article
Developing and validating a model explaining the assimilation process of RFID: An empirical study;Information Systems Frontiers;;18;4;10.1007/s10796-014-9537-y;Mohammad Alamgir HossainMohammed QuaddusNazrul Islam;2016;http://link.springer.com/article/10.1007/s10796-014-9537-y;Article
Development of an industrial Internet of things suite for smart factory towards re-industrialization;Advances in Manufacturing;;5;4;10.1007/s40436-017-0197-2;C. K. M. LeeS. Z. ZhangK. K. H. Ng;2017;http://link.springer.com/article/10.1007/s40436-017-0197-2;Article
Development of phycology in Malaysia;Journal of Applied Phycology;;;;10.1007/s10811-018-1463-9;Siew-Moi Phang;2018;http://link.springer.com/article/10.1007/s10811-018-1463-9;Article
Development of vegetable intelligent farming device based on mobile APP;Cluster Computing;;;;10.1007/s10586-018-1979-4;Jin XinLi MingyongZhao KaixuanJi JiangtaoMa HaoQiu Zhaomei;2018;http://link.springer.com/article/10.1007/s10586-018-1979-4;Article
Dialectic tensions in the financial markets: a longitudinal study of pre- and post-crisis regulatory technology;Journal of Information Technology;;;;10.1057/s41265-017-0047-5;Wendy L. CurrieDaniel P. GozmanJonathan J. M. Seddon;2017;http://link.springer.com/article/10.1057/s41265-017-0047-5;Article
Different I/O Standard and Technology Based Thermal Aware Energy Efficient Vedic Multiplier Design for Green Wireless Communication on FPGA;Wireless Personal Communications;;96;2;10.1007/s11277-017-4345-6;Kavita GoswamiBishwajeet PandeyTanesh KumarD. M. Akbar Hussain;2017;http://link.springer.com/article/10.1007/s11277-017-4345-6;Article
Digital Art as ‘Monetised Graphics’: Enforcing Intellectual Property on the Blockchain;Philosophy & Technology;;31;1;10.1007/s13347-016-0243-1;Martin Zeilinger;2018;http://link.springer.com/article/10.1007/s13347-016-0243-1;Article
Digital conservation: An introduction;Ambio;;44;4;10.1007/s13280-015-0701-5;René van der WalKoen Arts;2015;http://link.springer.com/article/10.1007/s13280-015-0701-5;Article
Digital innovation and the fourth industrial revolution: epochal social changes?;AI & SOCIETY;;;;10.1007/s00146-017-0736-1;Loris Caruso;2017;http://link.springer.com/article/10.1007/s00146-017-0736-1;Article
Digital technology and the conservation of nature;Ambio;;44;4;10.1007/s13280-015-0705-1;Koen ArtsRené van der WalWilliam M. Adams;2015;http://link.springer.com/article/10.1007/s13280-015-0705-1;Article
Digital technology, population health, and health equity;Journal of Public Health Policy;;37;2;10.1057/s41271-016-0041-0;James ChauvinLaetitia Rispel;2016;http://link.springer.com/article/10.1057/s41271-016-0041-0;Article
Digital transformation in maritime ports: analysis and a game theoretic framework;NETNOMICS: Economic Research and Electronic Networking;;18;02/mar;10.1007/s11066-017-9122-x;Leonard HeiligEduardo Lalla-RuizStefan Voß;2017;http://link.springer.com/article/10.1007/s11066-017-9122-x;Article
Digital twin-driven product design, manufacturing and service with big data;The International Journal of Advanced Manufacturing Technology;;94;09/dez;10.1007/s00170-017-0233-1;Fei TaoJiangfeng ChengQinglin QiMeng ZhangHe ZhangFangyuan Sui;2018;http://link.springer.com/article/10.1007/s00170-017-0233-1;Article
Digitalisation and the regulation of work: theoretical issues and normative challenges;AI & SOCIETY;;;;10.1007/s00146-017-0738-z;Angelo Salento;2017;http://link.springer.com/article/10.1007/s00146-017-0738-z;Article
Digitalizing the Circular Economy;Metallurgical and Materials Transactions B;;47;6;10.1007/s11663-016-0735-5;Markus A. Reuter;2016;http://link.springer.com/article/10.1007/s11663-016-0735-5;Article
Digitization of industrial work: development paths and prospects;Journal for Labour Market Research;;49;1;10.1007/s12651-016-0200-6;Hartmut Hirsch-Kreinsen;2016;http://link.springer.com/article/10.1007/s12651-016-0200-6;Article
Dioptase: a distributed data streaming middleware for the future web of things;Journal of Internet Services and Applications;;5;1;10.1186/s13174-014-0013-1;Benjamin BilletValérie Issarny;2014;http://link.springer.com/article/10.1186/s13174-014-0013-1;Article
Directions and improvements of the future smart city development: a case of Gyenggi province;Spatial Information Research;;25;2;10.1007/s41324-017-0092-8;Jin A. OkSoonduck Yoo;2017;http://link.springer.com/article/10.1007/s41324-017-0092-8;Article
Discrete lot-sizing and scheduling problems considering renewable energy and CO2 emissions;Production Engineering;;10;6;10.1007/s11740-016-0700-9;Cheng-Hsiang Liu;2016;http://link.springer.com/article/10.1007/s11740-016-0700-9;Article
Distributed manufacturing resource selection strategy in cloud manufacturing;The International Journal of Advanced Manufacturing Technology;;94;09/dez;10.1007/s00170-016-9866-8;Lei WangShunsheng GuoXixing LiBaigang DuWenxiang Xu;2018;http://link.springer.com/article/10.1007/s00170-016-9866-8;Article
DoS, impersonation and de-synchronization attacks against an ultra-lightweight RFID mutual authentication protocol for IoT;The Journal of Supercomputing;;74;1;10.1007/s11227-017-2139-y;Seyed Farhad AghiliMaede Ashouri-TaloukiHamid Mala;2018;http://link.springer.com/article/10.1007/s11227-017-2139-y;Article
Driver information system: a combination of augmented reality, deep learning and vehicular Ad-hoc networks;Multimedia Tools and Applications;;;;10.1007/s11042-017-5054-6;Lotfi AbdiAref Meddeb;2017;http://link.springer.com/article/10.1007/s11042-017-5054-6;Article
Driving public sector innovation using big and open linked data (BOLD);Information Systems Frontiers;;19;2;10.1007/s10796-017-9746-2;Marijn JanssenDavid KonopnickiJane L. SnowdonAdegboyega Ojo;2017;http://link.springer.com/article/10.1007/s10796-017-9746-2;Article
Drug identification and interaction checker based on IoT to minimize adverse drug reactions and improve drug compliance;Personal and Ubiquitous Computing;;18;1;10.1007/s00779-012-0622-2;Antonio J. JaraMiguel A. ZamoraAntonio F. Skarmeta;2014;http://link.springer.com/article/10.1007/s00779-012-0622-2;Article
Dynamic Group Based Efficient Access Authentication and Key Agreement Protocol for MTC in LTE-A Networks;Wireless Personal Communications;;;;10.1007/s11277-018-5719-0;Garima SinghDeepti D. Shrimankar;2018;http://link.springer.com/article/10.1007/s11277-018-5719-0;Article
Dynamic stakeholder interaction analysis: Innovative smart living design cases;Electronic Markets;;23;4;10.1007/s12525-013-0143-5;Sam SolaimaniNick GuldemondHarry Bouwman;2013;http://link.springer.com/article/10.1007/s12525-013-0143-5;Article
Dynamics of Perceptible Agency: The Case of Social Robots;Minds and Machines;;26;4;10.1007/s11023-016-9405-2;Maria Brincker;2016;http://link.springer.com/article/10.1007/s11023-016-9405-2;Article
E-government multimedia big data platform for disaster management;Multimedia Tools and Applications;;77;8;10.1007/s11042-017-5119-6;Zhihan LvXiaoming LiKim-Kwang Raymond Choo;2018;http://link.springer.com/article/10.1007/s11042-017-5119-6;Article
ECR 2016 Book of Abstracts - A - Postgraduate Educational Programme;Insights into Imaging;;7;1;10.1007/s13244-016-0474-9;;2016;http://link.springer.com/article/10.1007/s13244-016-0474-9;Article
EMAP: An efficient mutual authentication protocol for passive RFID tags;International Journal of Automation and Computing;;9;1;10.1007/s11633-012-0623-7;Guo-Rui LiYing WangCui-Rong WangJing-Sha He;2012;http://link.springer.com/article/10.1007/s11633-012-0623-7;Article
Economic language and economy change: with implications for cyber-physical systems;AI & SOCIETY;;;;10.1007/s00146-017-0728-1;Alan Cottey;2017;http://link.springer.com/article/10.1007/s00146-017-0728-1;Article
Editorial 25/2: Electronic Markets and privacy;Electronic Markets;;25;2;10.1007/s12525-015-0193-y;Rainer AltCarsta Militzer-HorstmannHans-Dieter Zimmermann;2015;http://link.springer.com/article/10.1007/s12525-015-0193-y;Article
Editorial;Journal of Marketing Analytics;;2;2;10.1057/jma.2014.12;Bruce D WeinbergTom BreurArnold Kamis;2014;http://link.springer.com/article/10.1057/jma.2014.12;Article
Editorial: Recent Advances in Heterogeneous Networking for Quality, Reliability, Security and Robustness;Mobile Networks and Applications;;22;5;10.1007/s11036-017-0890-1;Sangheon PackGyörgy DánKamal Singh;2017;http://link.springer.com/article/10.1007/s11036-017-0890-1;Article
Editorial: Special Issue on Security and Privacy of IoT;World Wide Web;;21;1;10.1007/s11280-017-0490-9;Hua WangZonghua ZhangTarek Taleb;2018;http://link.springer.com/article/10.1007/s11280-017-0490-9;Article
Editorial: Special Issue on “Cooperation Optimized Innovation Intelligent Infrastructure Networks (COINS)”;Wireless Personal Communications;;81;4;10.1007/s11277-015-2487-y;Ramjee PrasadMarina Ruggieri;2015;http://link.springer.com/article/10.1007/s11277-015-2487-y;Article
Effective software solutions for 4D printing: A review and proposal;International Journal of Precision Engineering and Manufacturing-Green Technology;;4;3;10.1007/s40684-017-0041-y;Sungwook ChungSang Eun SongYoung Tae Cho;2017;http://link.springer.com/article/10.1007/s40684-017-0041-y;Article
Effects of transparency: analyzing social biases on trader performance in social trading;Journal of Information Technology;;33;1;10.1057/s41265-016-0028-0;Florian GlaserMarten Risius;2018;http://link.springer.com/article/10.1057/s41265-016-0028-0;Article
Efficient key insulated attribute based signature without bilinear pairings for mobile communications;Automatic Control and Computer Sciences;;51;3;10.3103/S0146411617030038;Hanshu HongZhixin Sun;2017;http://link.springer.com/article/10.3103/S0146411617030038;Article
Efficiently managing uncertain data in RFID sensor networks;World Wide Web;;18;4;10.1007/s11280-014-0283-3;Jiangang MaQuan Z. ShengDong XieJen Min ChuahYongrui Qin;2015;http://link.springer.com/article/10.1007/s11280-014-0283-3;Article
